Company Name,Company_url,salary,designation_list,location_list,qualification_list
iNFOX Technologies,https://in.indeed.com/cmp/Infox-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1gina8p8ejkne800&fromjk=8638501ba7141418,NA,Python developers,iNFOX TechnologiesKerala,NA
Allied Globetech,https://in.indeed.com/cmp/Allied-Globetech?campaignid=mobvjcmp&from=mobviewjob&tk=1gina8v3ljkm8801&fromjk=dd6b1428e27b4fde,NA,Python Developer,"Allied GlobetechNavi Mumbai, Maharashtra",NA
Teramars Technologies,https://in.indeed.com/cmp/Teramars-Technologies-Pvt.-Ltd.-1?campaignid=mobvjcmp&from=mobviewjob&tk=1gina95ol2eh4000&fromjk=5c0eafb96f303f42,"₹4,00,000 - ₹8,00,000 a year",Python Django API developer,"Teramars TechnologiesGurgaon, HaryanaRemote",total work: 2 years (Required)
Zensar Technologies,https://in.indeed.com/cmp/Zensar-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1gina9bnfic8m800&fromjk=e7001903bb874f5a,NA,PYTHON,"Zensar TechnologiesPune, Maharashtra",NA
Deven InfoTech Pvt. Ltd.,https://in.indeed.com/cmp/Deven-Infotech?campaignid=mobvjcmp&from=mobviewjob&tk=1gina9hp9g829800&fromjk=7bfeff914b453bd8,"₹1,80,000 - ₹3,00,000 a year",Python Plotly Developer,"Deven InfoTech Pvt. Ltd.Pune, MaharashtraRemote",Python Plotly: 1 year (Required)
Eve World Platform,https://in.indeed.com/cmp/Eve-World-Platform-1?campaignid=mobvjcmp&from=mobviewjob&tk=1gina9nlig3mr800&fromjk=03a0b1d0b1a2b73d,"₹1,90,000 - ₹2,30,000 a month",Python Machine Learning Engineer,Eve World PlatformRemoteRemote,NA
Miles Business India pvt. Ltd.,https://in.indeed.com/cmp/Miles-Business-India-Pvt.-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1gina9tju290c000&fromjk=285a4b1b92e7c0be,"From ₹5,54,326 a year",Python Developer,"Miles Business India pvt. Ltd.Hyderabad, Telangana",NA
Offer18,https://in.indeed.com/cmp/Offer18?campaignid=mobvjcmp&from=mobviewjob&tk=1ginaa3snjk9q800&fromjk=a52fd543990a250e,"From ₹5,50,000 a year",Technical Support Engineer,"Offer18Hyderabad, TelanganaTemporarily remote",Any Programming Language (PHP/JAVA/PYTHON/GO/C++): 1 year (Required)Information Technology: 1 year (Required)Night Shift (Required)English (Required)Day Shift (Preferred)
Systems Plus Transformations,https://in.indeed.com/cmp/Systems-Plus-Transformations?campaignid=mobvjcmp&from=mobviewjob&tk=1ginaaa502fnh000&fromjk=5d8975ab71512dad,"₹10,00,000 - ₹15,00,000 a year",Python Full Stack Developer,"Systems Plus TransformationsPune, Maharashtra",NA
iNFOX Technologies,https://in.indeed.com/cmp/Infox-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1ginadus7294a000&fromjk=8638501ba7141418,NA,Python developers,iNFOX TechnologiesKerala,NA
iNFOX Technologies,https://in.indeed.com/cmp/Infox-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1ginadur5jkao800&fromjk=8638501ba7141418,NA,Python developers,iNFOX TechnologiesKerala,NA
Allied Globetech,https://in.indeed.com/cmp/Allied-Globetech?campaignid=mobvjcmp&from=mobviewjob&tk=1ginae562j9hm800&fromjk=dd6b1428e27b4fde,NA,Python Developer,"Allied GlobetechNavi Mumbai, Maharashtra",NA
Allied Globetech,https://in.indeed.com/cmp/Allied-Globetech?campaignid=mobvjcmp&from=mobviewjob&tk=1ginae5bdj6fh800&fromjk=dd6b1428e27b4fde,NA,Python Developer,"Allied GlobetechNavi Mumbai, Maharashtra",NA
Teramars Technologies,https://in.indeed.com/cmp/Teramars-Technologies-Pvt.-Ltd.-1?campaignid=mobvjcmp&from=mobviewjob&tk=1ginaebdei928800&fromjk=5c0eafb96f303f42,"₹4,00,000 - ₹8,00,000 a year",Python Django API developer,"Teramars TechnologiesGurgaon, HaryanaRemote",total work: 2 years (Required)
Teramars Technologies,https://in.indeed.com/cmp/Teramars-Technologies-Pvt.-Ltd.-1?campaignid=mobvjcmp&from=mobviewjob&tk=1ginaebjoj9jp800&fromjk=5c0eafb96f303f42,"₹4,00,000 - ₹8,00,000 a year",Python Django API developer,"Teramars TechnologiesGurgaon, HaryanaRemote",total work: 2 years (Required)
Zensar Technologies,https://in.indeed.com/cmp/Zensar-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1ginaehhiica0800&fromjk=e7001903bb874f5a,NA,PYTHON,"Zensar TechnologiesPune, Maharashtra",NA
Zensar Technologies,https://in.indeed.com/cmp/Zensar-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1ginaehr6jkmk800&fromjk=e7001903bb874f5a,NA,PYTHON,"Zensar TechnologiesPune, Maharashtra",NA
Deven InfoTech Pvt. Ltd.,https://in.indeed.com/cmp/Deven-Infotech?campaignid=mobvjcmp&from=mobviewjob&tk=1ginaenrricbq800&fromjk=7bfeff914b453bd8,"₹1,80,000 - ₹3,00,000 a year",Python Plotly Developer,"Deven InfoTech Pvt. Ltd.Pune, MaharashtraRemote",Python Plotly: 1 year (Required)
Deven InfoTech Pvt. Ltd.,https://in.indeed.com/cmp/Deven-Infotech?campaignid=mobvjcmp&from=mobviewjob&tk=1ginaeo6jjka5800&fromjk=7bfeff914b453bd8,"₹1,80,000 - ₹3,00,000 a year",Python Plotly Developer,"Deven InfoTech Pvt. Ltd.Pune, MaharashtraRemote",Python Plotly: 1 year (Required)
Eve World Platform,https://in.indeed.com/cmp/Eve-World-Platform-1?campaignid=mobvjcmp&from=mobviewjob&tk=1ginaeviqicbp800&fromjk=03a0b1d0b1a2b73d,"₹1,90,000 - ₹2,30,000 a month",Python Machine Learning Engineer,Eve World PlatformRemoteRemote,NA
Deven InfoTech Pvt. Ltd.,https://in.indeed.com/cmp/Deven-Infotech?campaignid=mobvjcmp&from=mobviewjob&tk=1ginaevns2eh4000&fromjk=7bfeff914b453bd8,"₹1,80,000 - ₹3,00,000 a year",Python Plotly Developer,"Deven InfoTech Pvt. Ltd.Pune, MaharashtraRemote",Python Plotly: 1 year (Required)
Miles Business India pvt. Ltd.,https://in.indeed.com/cmp/Miles-Business-India-Pvt.-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1ginaf5ovi90i800&fromjk=285a4b1b92e7c0be,"From ₹5,54,326 a year",Python Developer,"Miles Business India pvt. Ltd.Hyderabad, Telangana",NA
Eve World Platform,https://in.indeed.com/cmp/Eve-World-Platform-1?campaignid=mobvjcmp&from=mobviewjob&tk=1ginaf62fjkmk800&fromjk=03a0b1d0b1a2b73d,"₹1,90,000 - ₹2,30,000 a month",Python Machine Learning Engineer,Eve World PlatformRemoteRemote,NA
iNFOX Technologies,https://in.indeed.com/cmp/Infox-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1ginafbmgjl3a800&fromjk=8638501ba7141418,NA,Python developers,iNFOX TechnologiesKerala,NA
Systems Plus Transformations,https://in.indeed.com/cmp/Systems-Plus-Transformations?campaignid=mobvjcmp&from=mobviewjob&tk=1ginafc21icat800&fromjk=5d8975ab71512dad,"₹10,00,000 - ₹15,00,000 a year",Python Full Stack Developer,"Systems Plus TransformationsPune, Maharashtra",NA
Miles Business India pvt. Ltd.,https://in.indeed.com/cmp/Miles-Business-India-Pvt.-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1ginafcfgjklu800&fromjk=285a4b1b92e7c0be,"From ₹5,54,326 a year",Python Developer,"Miles Business India pvt. Ltd.Hyderabad, Telangana",NA
Allied Globetech,https://in.indeed.com/cmp/Allied-Globetech?campaignid=mobvjcmp&from=mobviewjob&tk=1ginafhohjl2r800&fromjk=dd6b1428e27b4fde,NA,Python Developer,"Allied GlobetechNavi Mumbai, Maharashtra",NA
Systems Plus Transformations,https://in.indeed.com/cmp/Systems-Plus-Transformations?campaignid=mobvjcmp&from=mobviewjob&tk=1ginafj2a2fnq000&fromjk=5d8975ab71512dad,"₹10,00,000 - ₹15,00,000 a year",Python Full Stack Developer,"Systems Plus TransformationsPune, Maharashtra",NA
Teramars Technologies,https://in.indeed.com/cmp/Teramars-Technologies-Pvt.-Ltd.-1?campaignid=mobvjcmp&from=mobviewjob&tk=1ginafnrnj6fh800&fromjk=5c0eafb96f303f42,"₹4,00,000 - ₹8,00,000 a year",Python Django API developer,"Teramars TechnologiesGurgaon, HaryanaRemote",total work: 2 years (Required)
Zensar Technologies,https://in.indeed.com/cmp/Zensar-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1ginag0mfg3m4800&fromjk=e7001903bb874f5a,NA,PYTHON,"Zensar TechnologiesPune, Maharashtra",NA
Deven InfoTech Pvt. Ltd.,https://in.indeed.com/cmp/Deven-Infotech?campaignid=mobvjcmp&from=mobviewjob&tk=1ginag6o7i91d801&fromjk=7bfeff914b453bd8,"₹1,80,000 - ₹3,00,000 a year",Python Plotly Developer,"Deven InfoTech Pvt. Ltd.Pune, MaharashtraRemote",Python Plotly: 1 year (Required)
Eve World Platform,https://in.indeed.com/cmp/Eve-World-Platform-1?campaignid=mobvjcmp&from=mobviewjob&tk=1ginagcuhi9bl800&fromjk=03a0b1d0b1a2b73d,"₹1,90,000 - ₹2,30,000 a month",Python Machine Learning Engineer,Eve World PlatformRemoteRemote,NA
Miles Business India pvt. Ltd.,https://in.indeed.com/cmp/Miles-Business-India-Pvt.-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1ginagj3d2fns000&fromjk=285a4b1b92e7c0be,"From ₹5,54,326 a year",Python Developer,"Miles Business India pvt. Ltd.Hyderabad, Telangana",NA
Systems Plus Transformations,https://in.indeed.com/cmp/Systems-Plus-Transformations?campaignid=mobvjcmp&from=mobviewjob&tk=1ginagp0vg829800&fromjk=5d8975ab71512dad,"₹10,00,000 - ₹15,00,000 a year",Python Full Stack Developer,"Systems Plus TransformationsPune, Maharashtra",NA
Transdigital Technology services Pvt Ltd,https://in.indeed.com/cmp/Transdigital-Technology-Services?campaignid=mobvjcmp&from=mobviewjob&tk=1ginal8p02bjs000&fromjk=da25137db2732f68,"₹4,00,000 - ₹5,00,000 a year",Jr Java Developer,"Transdigital Technology services Pvt LtdMumbai, Maharashtra",NA
Java International Ventures Pvt Ltd,https://in.indeed.com/cmp/Java-International-Ventures-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1ginaleq0jkat800&fromjk=617b9f6600dbcbf4,"₹2,00,000 - ₹6,00,000 a year",Java Developer/Permanent Remote,"Java International Ventures Pvt LtdMumbai, MaharashtraRemote",NA
Kan Infocom Solution Pvt. Ltd.,https://in.indeed.com/cmp/Kan-Infocom-Solution-Pvt.-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1ginall03i9bl800&fromjk=1960797e2c6a4e1c,"Up to ₹17,00,000 a year",Java Developer,"Kan Infocom Solution Pvt. Ltd.Mumbai, Maharashtra",Bachelor's (Preferred)Java: 3 years (Preferred)Coding: 1 year (Preferred)Multithreading: 1 year (Preferred)Data structures: 1 year (Preferred)Algorithm: 1 year (Preferred)
