Job Title,Company Name,description,Posted Date,Job Type,Location
Ruby/Rails Engineer with autonomy,Jobot,"SaaS platform - RoR Engineer - base + equity + remote -- migration project This Jobot Job is hosted by: Katrina McFillin Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $100,000 - $180,000 per year A bit about us: Our client is currently looking for a Ruby Engineer to modernize their tech stack. They are an innovative social media platform that is tackling the problems within the college admissions space. They have built tools that solve co",Posted 8 days ago,Full-time,"San Francisco, CA, USA"
Ruby/Rails Engineer with autonomy,Jobot,"SaaS platform - RoR Engineer - base + equity + remote -- migration project This Jobot Job is hosted by: Katrina McFillin Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $100,000 - $180,000 per year A bit about us: Our client is currently looking for a Ruby Engineer to modernize their tech stack. They are an innovative social media platform that is tackling the problems within the college admissions space. They have built tools that solve co",Posted 9 days ago,Full-time,"New York, NY, USA"
Ruby/Rails Engineer with autonomy,Jobot,"SaaS platform - RoR Engineer - base + equity + remote -- migration project This Jobot Job is hosted by: Katrina McFillin Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $100,000 - $180,000 per year A bit about us: Our client is currently looking for a Ruby Engineer to modernize their tech stack. They are an innovative social media platform that is tackling the problems within the college admissions space. They have built tools that solve co",Posted 10 days ago,Full-time,"San Francisco, CA, USA"
Ruby/Rails Engineer with autonomy,Jobot,"SaaS platform - RoR Engineer - base + equity + remote -- migration project This Jobot Job is hosted by: Katrina McFillin Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $100,000 - $180,000 per year A bit about us: Our client is currently looking for a Ruby Engineer to modernize their tech stack. They are an innovative social media platform that is tackling the problems within the college admissions space. They have built tools that solve co",Posted 10 days ago,Full-time,"Simi Valley, CA, USA"
Ruby/Rails Engineer with autonomy,Jobot,"SaaS platform - RoR Engineer - base + equity + remote -- migration project This Jobot Job is hosted by: Katrina McFillin Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $100,000 - $180,000 per year A bit about us: Our client is currently looking for a Ruby Engineer to modernize their tech stack. They are an innovative social media platform that is tackling the problems within the college admissions space. They have built tools that solve co",Posted 10 days ago,Full-time,"Seattle, WA, USA"
Ruby/Rails Engineer with autonomy,Jobot,"SaaS platform - RoR Engineer - base + equity + remote -- migration project This Jobot Job is hosted by: Katrina McFillin Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $100,000 - $180,000 per year A bit about us: Our client is currently looking for a Ruby Engineer to modernize their tech stack. They are an innovative social media platform that is tackling the problems within the college admissions space. They have built tools that solve co",Posted 10 days ago,Full-time,"Portland, OR, USA"
Ruby/Rails Engineer with autonomy,Jobot,"SaaS platform - RoR Engineer - base + equity + remote -- migration project This Jobot Job is hosted by: Katrina McFillin Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $100,000 - $180,000 per year A bit about us: Our client is currently looking for a Ruby Engineer to modernize their tech stack. They are an innovative social media platform that is tackling the problems within the college admissions space. They have built tools that solve co",Posted 10 days ago,Full-time,"San Jose, CA, USA"
Ruby/Rails Engineer with autonomy,Jobot,"SaaS platform - RoR Engineer - base + equity + remote -- migration project This Jobot Job is hosted by: Katrina McFillin Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $100,000 - $180,000 per year A bit about us: Our client is currently looking for a Ruby Engineer to modernize their tech stack. They are an innovative social media platform that is tackling the problems within the college admissions space. They have built tools that solve co",Posted 10 days ago,Full-time,"San Diego, CA, USA"
Senior Software Engineer (Ruby/Rails),Jobot,"Fully Remote Software Startup! Paid team lunches, WFH stipend, unlimited PTO This Jobot Job is hosted by: Grant Greenhalgh Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $120,000 - $170,000 per year A bit about us: We help companies solve their software problems. From small, one-person startups to enterprises, we help businesses level up their teams, hone in on their process, and ship the right features at the right time. You will be joini",Posted 8 days ago,Full-time,"Pittsburgh, PA, USA"
Senior Software Engineer (Ruby/Rails),Jobot,"Fully Remote Software Startup! Unlimited PTO, WFH Stipend, Paid company lunches! This Jobot Job is hosted by: Grant Greenhalgh Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $120,000 - $170,000 per year A bit about us: We help companies solve their software problems. From small, one-person startups to enterprises, we help businesses level up their teams, hone in on their process, and ship the right features at the right time. You will be j",Posted 8 days ago,Full-time,"Charleston, SC, USA"
