Company Name,Company_url,salary,designation_list,location_list,qualification_list
Rewoke Technologies,https://in.indeed.com/cmp/Rewoke-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6kkqc1jtv1800&fromjk=5069f047faa36618,"₹3,00,000 - ₹6,00,000 a year",Python Developer,Rewoke TechnologiesRemoteRemote,Python: 2 years (Preferred)total work: 2 years (Preferred)
AltissAdvance Tech Private Limited,https://in.indeed.com/cmp/Altissadvance-Tech-Private-Limited?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6kl07mkcqt801&fromjk=4601a7cf1d2ae19d,"From ₹10,000 a month",Junior Python Developer,"AltissAdvance Tech Private LimitedMumbai, Maharashtra",Bachelor's (Required)
knorex india,https://in.indeed.com/cmp/Knorex-Pvt.-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6kl69kjv6g800&fromjk=9c77785a903d00f7,"₹3,72,169 - ₹16,31,390 a year","Data Engineer(Python, Scala, Spark)","knorex indiaPune, MaharashtraRemote",total work: 2 years (Preferred)Python: 1 year (Preferred)Scala: 1 year (Preferred)Spark: 1 year (Preferred)Mongo DB: 1 year (Preferred)
Route SMS Solutions,https://in.indeed.com/cmp/Route-Mobile-Limited?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6klc8djrh7800&fromjk=6634d0962bdefb7c,NA,Python developers,"Route SMS SolutionsMalad, Mumbai, Maharashtra",NA
Mansa Infotech Pvt Ltd,https://in.indeed.com/cmp/Mansa-Infotech-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6klm16jtvq800&fromjk=8747e5690134f115,NA,Python Developer,Mansa Infotech Pvt LtdRemoteRemote,Bachelor's (Preferred)Python: 2 years (Preferred)total work: 2 years (Preferred)
Deven InfoTech Pvt. Ltd.,https://in.indeed.com/cmp/Deven-Infotech?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6klrpm29h0000&fromjk=7bfeff914b453bd8,"₹1,80,000 - ₹3,00,000 a year",Python Plotly Developer,"Deven InfoTech Pvt. Ltd.Pune, MaharashtraRemote",Python Plotly: 1 year (Required)
Rewoke Technologies,https://in.indeed.com/cmp/Rewoke-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6knukujv6l802&fromjk=5069f047faa36618,"₹3,00,000 - ₹6,00,000 a year",Python Developer,Rewoke TechnologiesRemoteRemote,Python: 2 years (Preferred)total work: 2 years (Preferred)
AltissAdvance Tech Private Limited,https://in.indeed.com/cmp/Altissadvance-Tech-Private-Limited?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6ko4ebkcrv801&fromjk=4601a7cf1d2ae19d,"From ₹10,000 a month",Junior Python Developer,"AltissAdvance Tech Private LimitedMumbai, Maharashtra",Bachelor's (Required)
knorex india,https://in.indeed.com/cmp/Knorex-Pvt.-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6koa69kcql800&fromjk=9c77785a903d00f7,"₹3,72,169 - ₹16,31,390 a year","Data Engineer(Python, Scala, Spark)","knorex indiaPune, MaharashtraRemote",total work: 2 years (Preferred)Python: 1 year (Preferred)Scala: 1 year (Preferred)Spark: 1 year (Preferred)Mongo DB: 1 year (Preferred)
Route SMS Solutions,https://in.indeed.com/cmp/Route-Mobile-Limited?campaignid=mobvjcmp&from=mobviewjob&tk=1gj6kofv8i91d800&fromjk=6634d0962bdefb7c,NA,Python developers,"Route SMS SolutionsMalad, Mumbai, Maharashtra",NA
