Job Title,Company Name,description,Posted Date,Job Type,Location
Data Warehouse Engineer,Essense of Australia,"Essense of Australia is a dynamic international bridal wholesaler and retailer with key offices in Lenexa, Kansas (US), Perth, Australia and Zug, Switzerland. Our growing organization also operates in the United Kingdom, Europe, Canada, and New Zealand. A global leader in bridal fashion for more than 25 years, Essense continues to build a steady, reliable, and exciting presence in the U.S. and across the globe, with our designs sold in more than 1,200 stores and counting. Our success can be at",Posted 42 days ago,Full-time,"Lenexa, KS, USA"
Junior Python Developer,"Shimento, Inc.","Python Developer Location- Charlotte, NC 12 months of contract Hybrid (2 days in the office) Required 3+ years of Python experience3+ years of RESTful API design and development experienceStrong in data science python libraries like NumPy, Pandas, and SciPy.Experience in creating APIs using python, preferably Django and DRF.",Posted 1 day ago,Contract,"Charlotte, NC, USA"
"Python Developer / Hybrid ok, not remote","Marlabs, Inc","Job Title: Python Developer / Hybrid ok, not remote Location: Jersey City, NJ / Irving, TX / Tampa, FL Duration: 6-12 months extendable Primary Responsibilities: Job Description: Strong hands-on experience in developing software applications using Python and related technologies. Experience in building Django / Flask based App server, API development Experience in developing applications from Scratch including an understanding of setting up the dependencies on the server. Good understanding",Posted 2 days ago,"Contract, Third Party","Irving, TX, USA"
Python Architect,TekShapers,"Python Architect with Java and SQL Location: St. Louis, MO Skills and Responsibilities: Job Description: We are looking for a seasoned Python Architect with Java and SQL experience with serverless technologies. Candidate must have a strong understanding of python best practices, a background in writing well-structured code including unit tests and integration tests. Willing to work with programmatic tools for CI/CD deployment pipelines following a microservices architecture. The role will incl",Posted 5 days ago,"Full-time, Third Party, Contract",Remote
Python developer,SmartIT Frame,"Python developer Location- Sunnyvale, Austin, Raleigh Contract Long Term Job Description: * 5+ years developing large scale enterprise software * Strong programming skills (ability to create efficient algorithms and data structures) * Expertise in one or more of the following programming languages: Go (required), Java, C, Rust, Scala * Expertise in the following scripting languages: Python (required), Shell script * Expertise in one or more of the following query languages: SQL (required),",Posted 6 days ago,"Part-time, Third Party, Contract","Austin, TX, USA"
"Python Developer (Golang) - Austin, TX (Initial Remote) for Long Term",Codeforce 360,"Career Opportunity: Job Title: Python Developer (Golang) - Austin, TX (Initial Remote) for Long Term About CodeForce 360 Making a career choice is amongst the most critical choices one can make, and it's important for the choice to be calculated with factors such as a company's run of success since its inception and more. But, when you come across a company that has reputation proven with nothing but an illustrious run of success since the day it began, you don't need to think of anything el",Posted 8 days ago,Third Party,"Austin, TX, USA"
Sr Python developer,Codeforce 360,"Career Opportunity: Job Title: Sr Python developer About CodeForce 360 Making a career choice is amongst the most critical choices one can make, and it's important for the choice to be calculated with factors such as a company's run of success since its inception and more. But, when you come across a company that has reputation proven with nothing but an illustrious run of success since the day it began, you don't need to think of anything else. That's precisely what some of our employees and",Posted 8 days ago,Third Party,"Arlington, VA, USA"
Python Developer with Ingestion Framework,"IT Trailblazers, LLC","Job TitlePython Developer with Ingestion Framework Location San Francisco , CA Duration 12-24 MONTHS Interview Mode: Phone and Skype Visa: All ONLY BAY AREA CONSULTANTS PREFERRED Python Developer|| San Francisco , CA Key Skills: Must Have Knowledge of INGESTION FRAMEWORK knowledgeable with center Python web frameworks, Object social mappers.should have an understanding of the multi-process design and RESTful API's to coordinate applications with other components.Front-end development ski",Posted 6 days ago,"Contract, Third Party",Remote
Python Developer,Agile Premier,"Agile Premier has a Fort Worth, TX based client that is looking to hire a Full Stack Developer. The person will mainly focus on web applications for internal and external client use as well as new development and troubleshooting. Ideal candidates will have experience in the following: 5+ years of SOLID experience in coding Python preferred (JavaScript, C# .NET, C++, and/or PHP a plus)Familiarity with version control systems (SVN, Git, and AlienBrain) and industry-standard release proceduresStro",Posted 9 days ago,Full-time,"Fort Worth, TX, USA"
Web Scraper in Python,Cogent Data Solutions Llc,"Hello Professionals, Cogent Data Solutions is hiring for a Web Scraper in Python position with one of our direct clients. Check out the details listed below. I look forward to hearing back from you. Have a great day! Job Location: Atlanta, Georgia (Onsite) Job Title: Web Scraper Job Qualifications/Skills: 4 Years experience with Web-Scraping.4 Years experience with Python.Job Description: We need a Web Scraper with 4years experience in Python and Web-Scraping.",Posted 8 days ago,Full-time,"Atlanta, GA, USA"
Python Developer - Boston MA,Tymon Global,Role: Python Developer Location: Boston MA Duration: 12+ Months Job Description: Must to have Skills · Python · postgreSQL · HTML/CSS/JavaScript · JSON · REST API Test Automation · REST APIs · REST Based Web Services · Unit Testing · Web/Application Server architecture · AWS,Posted 22 hours ago,Full-time,"Boston, MA, USA"
Python Developer with Google Cloud Platform,Chabez Tech LLC,"Title: Python Developer Location: Atlanta, GA -Remote Duration: Long Term Google Cloud Platform and Python experience is a must 8+ Years Python 2+ Years Google Cloud Platform",Posted 1 day ago,"Contract, Third Party",Remote
Python Developer - W2 Basis,Chabez Tech LLC,"Job Title: Python Developer Work Locations: NYC, NY (Initial Remote till Feb) Must Have Skills: Python, Financial Service Required Skills: -- Bachelors' degree in Computer Science or Equivalent professional experience. -- 5+ years of Hands-on Software Development experience in Python or any other programming language and willing to work in Python. -- Experience on high performance and low latency systems using messaging frameworks. -- Experience on caching frameworks. -- Experience on distribute",Posted 12 days ago,Contract,"Remote or New York, NY, USA"
"Python Developer (Jersey City, NJ)",Experis,"ManpowerGroup has partnered with a leading Financial Services organization in Jersey City, NJ for a contract Python Developer to assist their team. Title: Python Developer Location: Jersey City, NJ Duration: 12 months Required Skills: Position Summary Python Developer with knowledge/exposure in object-oriented and distributed computing technologies to help develop a distributed analytics platform that works with various data sources including Apache Hive and Oracle. The right candidate will",Posted 2 days ago,Contract,"Jersey City, NJ, USA"
Python/C++ Developer (Quartz),Experis,"ManpowerGroup has partnered with a leading Financial Services organization in New York, NY for a contract Python Developer to assist their team. Title: Python Developer Location: New York,NY Duration: 12 months Position Summary Primary Skill Python C++ Required Skills Working knowledge of Python and C++ is required. The Quartz Platform team is now starting a number of new projects to extend the platform with the capabilities required to meet our users future needs. We are looking to add a",Posted 2 days ago,Contract,"New York, NY, USA"
Python Developer with Banking / Capital Market Experience,Spectra Group,Need Python Developer with Banking / Capital Market Experience NYC Contract,Posted 14 days ago,"Contract, Third Party","Remote or New York, NY, USA"
